Participant Estimate,Advisor Estimate,True Answer,Advisor Error,Participant Error,Trial Type,Race,"Socioeconomic Status (first = lowest, fifth = highest)",Desired Occupation at age 30,Predicted Highest Degree,Region of Country,Time taken PSAT,How many friends are not going to college,Favourite school subject,Taken any AP test
45,42,28,14,17,training,"More than one race, non-Hispanic",Second quintile,Don't know,Complete Associate's degree,Midwest,Once,Don't know,Social studies/history/government/civics,No
60,85,100,15,40,training,"Asian, non-Hispanic",Fifth quintile (highest),Management Occupations,Complete Ph.D./M.D./law degree/other high level professional degree,West,Twice,Less than half,Career preparation class,Yes
55,43,15,28,40,training,"Hispanic, race specified",Third quintile,Don't know,Complete Bachelor's degree,Northeast,Once,Less than half,English,No
50,54,36,18,14,training,"White, non-Hispanic",Fourth quintile,Don't know,Complete Ph.D./M.D./law degree/other high level professional degree,South,Once,Less than half,Social studies/history/government/civics,No
45,49,42,7,3,training,"White, non-Hispanic",Third quintile,Healthcare Practitioners and Technical Occupations,Complete Bachelor's degree,West,Once,None of them,Career preparation class,No
80,79,99,20,19,training,"Asian, non-Hispanic",Fifth quintile (highest),Don't know,Complete Master's degree,Midwest,Once,Don't know,English,Yes
70,37,20,17,50,training,"Black/African-American, non-Hispanic",Fourth quintile,Don't know,Complete certificate/diploma from school providing occupational training,West,Don't know what this is,None of them,Mathematics,No
65,55,49,6,16,training,"Hispanic, race specified",First quintile (lowest),Healthcare Practitioners and Technical Occupations,Complete Master's degree,Northeast,Don't know what this is,Less than half,Mathematics,Yes
65,27,11,16,54,training,"Black/African-American, non-Hispanic",Third quintile,Don't know,"Start, but not complete certificate/diploma from school providing occ training",Midwest,Once,Less than half,Art,No
60,58,50,8,10,adjust,"Black/African-American, non-Hispanic",Third quintile,Healthcare Practitioners and Technical Occupations,Complete Ph.D./M.D./law degree/other high level professional degree,Northeast,Once,Less than half,Science,Yes
20,11,2,9,18,adjust,"White, non-Hispanic",First quintile (lowest),"Education, Training, and Library Occupations",Complete HS diploma/GED/alternative HS credential,South,Never,About half,English,No
80,84,100,16,20,adjust,"White, non-Hispanic",Fifth quintile (highest),Computer and Mathematical Occupations,Complete Master's degree,Midwest,Once,None of them,Computer science,Yes
65,56,66,10,1,adjust,"White, non-Hispanic",Fifth quintile (highest),Healthcare Practitioners and Technical Occupations,Complete Bachelor's degree,South,Twice,None of them,Social studies/history/government/civics,No
79,83,98,15,19,adjust,"White, non-Hispanic",Fifth quintile (highest),Computer and Mathematical Occupations,Complete Bachelor's degree,West,Twice,Don't know,Computer Science,Yes
53,41,43,2,10,adjust,"Asian, non-Hispanic",First quintile (lowest),Don't know,Don't know,Midwest,Twice,More than half,English,No
20,23,3,20,17,adjust,"White, non-Hispanic",Second quintile,Don't know,Complete HS diploma/GED/alternative HS credential,South,Never,Less than half,Other subject,No
45,53,68,15,23,adjust,"White, non-Hispanic",Third quintile,Business and Financial Operations Occupations,Complete Master's degree,Midwest,Never,Less than half,Mathematics,No
25,29,4,25,21,adjust,"White, non-Hispanic",First quintile (lowest),Don't know,Complete certificate/diploma from school providing occupational training,South,Never,Don't know,Social studies/history/government/civics,No
35,40,17,23,18,adjust,"Hispanic, race specified",First quintile (lowest),Don't know,Complete Associate's degree,West,Never,None of them,Mathematics,No
55,45,13,32,42,reward,"Black/African-American, non-Hispanic",Second quintile,Healthcare Practitioners and Technical Occupations,Complete Ph.D./M.D./law degree/other high level professional degree,South,Twice,None of them,Foreign Language,No
89,88,92,4,3,reward,"More than one race, non-Hispanic",Fifth quintile (highest),Architecture and Engineering Occupations,Complete Master's degree,Midwest,3 or more times,None of them,Science,Yes
65,41,78,37,13,reward,"More than one race, non-Hispanic",Third quintile,"Arts, Design, Entertainment, Sports, and Media Occupations",Complete Bachelor's degree,West,Never,None of them,Art,No
65,67,89,22,24,reward,"White, non-Hispanic",Fourth quintile,"Life, Physical, and Social Science Occupations",Complete Ph.D./M.D./law degree/other high level professional degree,Northeast,Twice,Don't know,Foreign Language,No
60,50,81,31,21,reward,"White, non-Hispanic",First quintile (lowest),Healthcare Practitioners and Technical Occupations,Complete Master's degree,South,Twice,About half,Social studies/history/government/civics,Yes
55,42,22,20,33,reward,"Hispanic, race specified",First quintile (lowest),Don't know,Complete certificate/diploma from school providing occupational training,West,Twice,Don't know,Science,No
70,56,85,29,15,reward,"More than one race, non-Hispanic",Fourth quintile,Business and Financial Operations Occupations,Complete Bachelor's degree,South,Once,Don't know,English,Yes
60,44,40,4,20,reward,"White, non-Hispanic",Fifth quintile (highest),Management Occupations,Complete HS diploma/GED/alternative HS credential,Midwest,Once,Don't know,Physical education or gym,No
65,66,53,13,12,reward,"White, non-Hispanic",First quintile (lowest),Healthcare Practitioners and Technical Occupations,Complete Bachelor's degree,Northeast,3 or more times,None of them,Science,Yes
60,47,78,31,18,reward,"White, non-Hispanic",Fourth quintile,"Education, Training, and Library Occupations",Complete Bachelor's degree,South,Once,Don't know,Physical education or gym,No
